Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude,Effective Rating
Yashdeep Hospital,Himmatnagar,GUJARAT,4.7,31.0,"JX34+6G Himatnagar, Gujarat",23.6030625,72.9537429,1.5415660383586591
Ashirwad Hospital,RAJKOT,GUJARAT,3.2,81.0,"7Q7M+9F Rajkot, Gujarat",22.2634375,70.7811179,1.325347110461322
"Sadbhavna Hospital And Medical 
Research Centre",RAJKOT,GUJARAT,4.0,116.0,"8Q59+Q3 Rajkot, Gujarat",22.3094375,70.7651179,1.8143518956902442
Sudeep Hospital And Maternity Home,SURAT,GUJARAT,4.1,228.5,,21.1438125,72.7946179,2.134461682575174
Healing Hands Hospital,SURAT,GUJARAT,4.9,175.0,"4QVW+GV Surat, Gujarat",21.1438125,72.7946179,2.4357575804673965
"Metas Of Seventh Day Adventist 
Hospital(Surat)",SURAT,GUJARAT,4.4,1059.0,"5RM5+MG Surat, Gujarat",21.1841875,72.8062429,2.9611314180159027
"Kiran Multi Super Specialty Hospital & 
Research Center",SURAT,GUJARAT,4.8,28618.0,"6R9P+HQ Surat, Gujarat",21.2189375,72.8343679,4.800264747331234
SIDS Hospital And Research Centre,SURAT,GUJARAT,4.3,911.0,"5RHG+66 Surat, Gujarat",21.1780625,72.8229929,2.8283575987589544
Indrapuri Hospital,VADODARA,GUJARAT,4.1,65.0,"862J+54 Vadodara, Gujarat",22.3004375,73.2277429,1.6294021341670337
Chandan Hospital And Icu,Vadodara,GUJARAT,3.8,18.0,"8622+J6 Vadodara, Gujarat",22.3015625,73.1979929,1.037448220291131
Chiranjeev Children'S Hospital,Vadodara,GUJARAT,3.4,36.0,"862C+2M Vadodara, Gujarat",22.3000625,73.2191179,1.1450164300883763
Dev Hospital And Iccu (Baroda),Vadodara,GUJARAT,4.3,41.0,"8564+8H Vadodara, Gujarat",22.3108125,73.1538679,1.5201187383006525
Devamrut Hospital,Vadodara,GUJARAT,4.8,327.0,"848J+FG Vadodara, Gujarat",22.3161875,73.1287429,2.6800125317996475
Devarsh Surgical And Maternity Hospital,Vadodara,GUJARAT,4.6,309.0,"85RM+X3 Vadodara, Gujarat",22.3424375,73.1801179,2.539827493275139
"Devpushp Meternity And Laproscopic 
Hospital",Vadodara,GUJARAT,4.2,416.0,"759X+R3 Vadodara, Gujarat",22.2695625,73.1951179,2.436112488511955
Dhvani Ent Hospital,Vadodara,GUJARAT,2.3,6.0,,22.3413125,73.1753679,0.3738754166313907
Dr. Bhavesh Patel'S Hospital,Vadodara,GUJARAT,4.0,70.0,"85RH+G5 Vadodara, Gujarat",22.3413125,73.1753679,1.616862185659154
Dr. Munshis Hospital,Vadodara,GUJARAT,4.1,228.5,,22.3249375,73.1952429,2.134461682575174
Dwarkesh Hospital,Vadodara,GUJARAT,4.4,269.0,"85FX+X4 Vadodara, Gujarat",22.3249375,73.1952429,2.36633734669499
Ganga Jamna Hospital,Vadodara,GUJARAT,4.3,73.0,"85C5+5Q Vadodara, Gujarat",22.3204375,73.1568679,1.7608554840049258
Gujarat Kidney Hospital,Vadodara,GUJARAT,4.3,860.0,"854G+W8 Vadodara, Gujarat",22.3073125,73.1732429,2.803898870612386
Gunjan Children Hospital And Icu,Vadodara,GUJARAT,3.4,5.0,"85QH+Q6 Vadodara, Gujarat",22.3394375,73.1754929,0.5336471700838007
Gupta Hospital ( Vadodara),Vadodara,GUJARAT,4.6,187.0,"7682+RQ Vadodara, Gujarat",22.2670625,73.1993679,2.3124250202748264
"Himalaya Cancer Hospital And Research 
Centre",Vadodara,GUJARAT,4.6,224.0,"854G+PQ Vadodara, Gujarat",22.3068125,73.1743679,2.3941132734734336
"I Care Hospital And Phaco Centre 
(Vadodara)",Vadodara,GUJARAT,4.4,245.0,"8565+48 Vadodara, Gujarat",22.3103125,73.1557429,2.3258506974351163
Jadia Orthopedic And Maternity Hospital,Vadodara,GUJARAT,4.1,228.5,,22.2998125,73.2304929,2.134461682575174
Kaka Hospital,Vadodara,GUJARAT,4.4,70.0,"76XM+W6 Vadodara, Gujarat",22.2998125,73.2304929,1.7853998088399972
Kalavati Hospital (Vadodara),Vadodara,GUJARAT,4.9,103.0,"85XG+WW Vadodara, Gujarat",22.3498125,73.1747429,2.1809497105895392
Kamubala Hospital,Vadodara,GUJARAT,4.6,116.0,"85WV+45 Vadodara, Gujarat",22.3453125,73.1903679,2.0967817869661713
Kinjal Hospital,Vadodara,GUJARAT,4.1,228.5,,22.2874375,73.2346179,2.134461682575174
Krishna Hospital(Vado),Vadodara,GUJARAT,4.5,99.0,"76PP+XV Vadodara, Gujarat",22.2874375,73.2346179,1.9798745670298619
Krishnashray Hospital And Icu,Vadodara,GUJARAT,4.1,228.5,,22.3353125,73.2061179,2.134461682575174
Metro Hospital And Research Institute,VADODARA,GUJARAT,3.8,69.0,"86P5+4F Vadodara, Gujarat",22.3353125,73.2061179,1.5272654758934496
"Viroc Super Speciality Orthopaedic 
Hospital(Nirman Orthopaedics)",VADODARA,GUJARAT,4.9,3083.0,"8672+6W Vadodara, Gujarat",22.3130625,73.1997429,3.822664232422487
"Venus Superspeciality Hospital (A Unit Of 
Venus Medi Surgery Pvt Ltd)",Vadodara,GUJARAT,4.9,2301.0,"75Q8+G4 Vadodara, Gujarat",22.2888125,73.1627429,3.681019446797037
Welcare Hospital (Vadodara),VADODARA,GUJARAT,4.9,1747.0,"75G6+5M Vadodara, Gujarat",22.2754375,73.1591179,3.547677754238648
Samvedna Multispeciality Hospital,VAPI,GUJARAT,3.4,96.0,"9WHJ+4V Vapi, Gujarat",20.3778125,72.9296179,1.4689208462234231
Leelawati Hospital,AMBALA,HARYANA,4.5,251.0,"9QHP+G4 Ambala, Haryana",30.3788125,76.7827429,2.390986715560293
Vardhman Hospital ( Ambala City ),AMBALA,HARYANA,3.3,76.0,,30.3706875,76.7854929,1.3483835312982253
Mehndiratta Hospital,AMBALA,HARYANA,4.6,586.0,"9QCQ+76 Ambala, Haryana",30.3706875,76.7854929,2.8301231870511456
Narain Hospital And Ct Scan Centre,AMBALA,HARYANA,4.3,235.0,"9QCQ+GF Ambala, Haryana",30.3713125,76.7861179,2.253794563398311
Monga Hospital And Stone Centre,AMBALA,HARYANA,3.9,194.0,"8VP7+QQ Ambala Cantt, Haryana",30.3369375,76.8618679,1.964200976587865
MM Hospital,AMBALA,HARYANA,3.9,98.0,"9QJM+33 Ambala, Haryana",30.3801875,76.7801179,1.7028817309424242
Dhawan Orthopaedic Hospital,AMBALA,HARYANA,4.2,46.0,"8VP8+V4 Ambala Cantt, Haryana",30.3371875,76.8627429,1.5298688529318751
Healing Touch Super Speciality Hospital,AMBALA,HARYANA,4.7,4176.0,"CQ2P+PJ Ambala, Haryana",30.4018125,76.7839929,3.8047755690385276
JP Surgical Hospital,AMBALA,HARYANA,4.3,73.0,"9QHG+WP Ambala, Haryana",30.3798125,76.7742429,1.7608554840049258
Kapoor Hospital(Ambala),AMBALA,HARYANA,2.9,32.0,,30.3895625,76.7896179,0.9337603231683915
Rai Multispeciality Hospital,AMBALA,HARYANA,4.3,10.0,"9QQR+RV Ambala, Haryana",30.3895625,76.7896179,0.950670481399888
"Rotary Ambala Cancer And General 
Hospital.",AMBALA,HARYANA,3.8,214.0,"8RJW+PR Ambala Cantt, Haryana",30.3318125,76.8444929,1.9487541152376573
Ishwar Hospital,AMBALA,HARYANA,4.7,794.0,"9QQC+P2 Ambala, Haryana",30.3893125,76.7674929,3.034049431826415
RJ Super Speciality Hospital,BAHADURGARH,HARYANA,2.7,154.0,,28.3675625,77.3339929,1.2774811067359295
Care & Cure Hospital,BAHADURGARH,HARYANA,4.3,10.0,,28.3675625,77.3339929,0.950670481399888
Sarvodaya Hospital,FARIDABAD,HARYANA,4.5,5261.0,"989P+2J Faridabad, Haryana",28.3675625,77.3339929,3.7426674619801186
Shivalik Hospital,FARIDABAD,HARYANA,3.2,222.0,"F8H6+XF Faridabad, Haryana",28.4799375,77.3086179,1.641793844247541
Raj Rishik Hospital Pvt Ltd,FARIDABAD,HARYANA,4.3,212.0,"982J+CW Faridabad, Haryana",28.3510625,77.3297429,2.21021183689768
"Qrg Central Hospital And Research 
Centre",FARIDABAD,HARYANA,4.1,228.5,,28.3675625,77.3339929,2.134461682575174
Sarvodaya Hospital And Research Centre,FARIDABAD,HARYANA,4.5,5261.0,"989P+2J Faridabad, Haryana",28.3675625,77.3339929,3.7426674619801186
C. K. Memorial Kapoor Hospital,FARIDABAD,HARYANA,3.5,131.0,"97XW+36 Faridabad, Haryana",28.3675625,77.3339929,1.6207257571066178
IBS Ashwani Hospital,FARIDABAD,HARYANA,3.3,83.0,"989F+M8 Faridabad, Haryana",28.4020427,77.1546052,1.3767656058374587
Fortis Escorts Hospital,FARIDABAD,HARYANA,4.7,5908.0,"98R4+FQ Faridabad, Haryana",28.3911875,77.3043679,3.96592747208903
Prime Hospital And Ortho Centre,FARIDABAD,HARYANA,4.1,228.5,,28.3913125,77.2902429,2.134461682575174
Zenith Hospital Pvt Ltd,FARIDABAD,HARYANA,4.2,215.0,,28.3913125,77.2902429,2.1630245787144733
RK Hospital,FARIDABAD,HARYANA,3.8,71.0,"97RV+G4 Faridabad, Haryana",28.3913125,77.2902429,1.5378467537389566
Lohan Children Hospital,FARIDABAD,HARYANA,3.2,110.0,"C824+F8 Faridabad, Haryana",28.4011875,77.3032429,1.4211273049690265
"RG Stone Urology And Laparoscopy 
Hospital",FARIDABAD,HARYANA,4.8,1197.0,"98Q4+7C Faridabad, Haryana",28.3881875,77.3034929,3.294619763058213
"Apex Multispeciality And Laproscopy 
Hospital",FARIDABAD,HARYANA,3.4,28.0,"97VV+Q2 Faridabad, Haryana",28.3944375,77.2899929,1.063141729765108
Jeewan Jyoti Hospital,FARIDABAD,HARYANA,4.7,139.0,"C82F+RW Faridabad, Haryana",28.4020625,77.3222429,2.2272292743314703
Arsh Hospital,FARIDABAD,HARYANA,4.1,228.5,,28.3769375,77.3268679,2.134461682575174
Ghai Hospital,FARIDABAD,HARYANA,3.6,165.0,"98GH+QQ Faridabad, Haryana",28.3769375,77.3268679,1.7505436048779868
Satyam Hospital,FARIDABAD,HARYANA,4.2,51.0,"97HR+73 Faridabad, Haryana",28.3781875,77.2876179,1.5718387515141874
Kesar Hospital,FARIDABAD,HARYANA,4.0,59.0,"88W9+P6 Faridabad, Haryana",28.3468125,77.3154929,1.5503058533156582
Pawan Hospital,FARIDABAD,HARYANA,3.5,255.0,"87CM+Q9 Faridabad, Haryana",28.3219375,77.2808679,1.8498792460303906
Santosh Multispeciality Hospital,FARIDABAD,HARYANA,3.4,353.0,"97WQ+6X Faridabad, Haryana",28.3955625,77.2873679,1.9039956731203178
"Medicheck Ortho Superspeciality Hospital Site-2,Sec-46, Near Community Centre, Faridabad-121010 ,",FARIDABAD,HARYANA,4.2,104.0,"C7QX+FR Faridabad, Haryana",28.4386875,77.2969929,1.8635704883214366
Gaurav Hospital,Faridabad,HARYANA,5.0,1.0,"87FR+J8 Faridabad, Haryana",28.3240625,77.2882429,0.2740561845970949
Aar Pee Hospitals,FARIDABAD,HARYANA,4.1,228.5,,28.3890625,77.2872429,2.134461682575174
Apurva Hospital,FARIDABAD,HARYANA,4.1,140.0,"97QQ+JW Faridabad, Haryana",28.3890625,77.2872429,1.9370401123085048
Dr. Harish Hospital,FARIDABAD,HARYANA,3.8,21.0,"989J+J2 Faridabad, Haryana",28.3690625,77.3274929,1.092514027982342
Goyal Hospital,FARIDABAD,HARYANA,4.8,3839.0,"987H+VR Faridabad, Haryana",28.3690625,77.3274929,3.8472743623077275
Medicheck Hospital,FARIDABAD,HARYANA,3.4,110.0,"98J2+CR Faridabad, Haryana",28.3810625,77.2994929,1.5142298894139201
Park Hospital Faridabad,FARIDABAD,HARYANA,4.6,2308.0,"98GG+X8 Faridabad, Haryana",28.3774375,77.3232429,3.4528366997636093
Prakash Hospital,FARIDABAD,HARYANA,4.6,128.0,"982J+8W Faridabad, Haryana",28.3508125,77.3297429,2.1411766734598534
Shanti Devi Memorial Hospital,FARIDABAD,HARYANA,3.9,21.0,"C989+G7 Faridabad, Haryana",28.4163125,77.3656179,1.1230673983542265
Shivmani Hospital,FARIDABAD,HARYANA,4.1,228.5,,28.3910625,77.2861179,2.134461682575174
Vardaan Hospital,FARIDABAD,HARYANA,3.8,9.0,"97RQ+CF Faridabad, Haryana",28.3910625,77.2861179,0.7963611460819169
Chugh Hospital,FARIDABAD,HARYANA,3.8,25.0,"C72X+MF Faridabad, Haryana",28.4016875,77.2961179,1.1552613001789986
"Doctor Today IVF And Multispeciality 
Hospital",FARIDABAD,HARYANA,4.1,539.0,"98X4+M8 Faridabad, Haryana",28.4016875,77.2961179,2.481232340940358
Dr Dilip Hospital,FARIDABAD,HARYANA,4.2,88.0,"C8J9+VP Faridabad, Haryana",28.4321875,77.3167429,1.7949364902371578
Shivalik Hospital,FARIDABAD,HARYANA,3.2,222.0,"F8H6+XF Faridabad, Haryana",28.4799375,77.3086179,1.641793844247541
Azad Hospital & Trauma Center,FATEHABAD,HARYANA,4.2,14.0,"GC8X+97 Fatehabad, Haryana",29.5159375,75.4456179,1.0557288606350057
Max Hospital Gurgaon,GURGAON,HARYANA,4.5,4043.0,"F36F+GV Gurugram, Haryana",28.4613125,77.0721179,3.6255613954689165
Neelkanth Hospital,GURGAON,HARYANA,4.6,2031.0,"F4M5+83 Gurugram, Haryana",28.4833125,77.1051179,3.394730502697624
Sethi Hospital ( Gurgaon),GURGAON,HARYANA,3.5,321.0,"F24C+J8 Gurugram, Haryana",28.4565625,77.0182429,1.9292328359359054
Mamta Hospital (Gurgaon),GURGAON,HARYANA,3.4,66.0,"F29M+RF Gurugram, Haryana",28.4695625,77.0311179,1.3445678239688827
Aryan Hospital Pvt Ltd,GURGAON,HARYANA,3.6,679.0,,28.4570625,77.0178679,2.2523175552570733
Tirath Ram Hospital Pvt Ltd(Gurgaon),GURGAON,HARYANA,4.1,520.0,"F24C+R5 Gurugram, Haryana",28.4570625,77.0178679,2.466716150592428
Umkal Hospital,GURGAON,HARYANA,4.1,331.0,"F3CF+J8 Gurugram, Haryana",28.4715625,77.0707429,2.2840980900660166
Paras Hospitals Gurgaon,GURGAON,HARYANA,4.8,13800.0,"F32P+2X Gurugram, Haryana",28.4500625,77.0848679,4.454230296376514
Pushpanjali Hospital (Civil Lines),Gurgaon,HARYANA,3.1,207.0,,28.4676875,77.0399929,1.5670096287278257
Kalyani Hospital Pvt Ltd,GURGAON,HARYANA,4.1,405.0,"F29V+32 Gurugram, Haryana",28.4676875,77.0399929,2.3656445760595624
Columbia Asia Hospital (Palam Vihar),GURGAON,HARYANA,4.4,69.0,"C2QR+97 Gurugram, Haryana",28.4384375,77.0381179,1.7792306635844062
Ayushman Hospital And Trauma Centre,GURGAON,HARYANA,3.8,49.0,"C2Q6+57 Gurugram, Haryana",28.4379375,77.0081179,1.4008829629458668
KK Healthcare Hospital,GURGAON,HARYANA,3.3,205.0,"F2M9+94 Gurugram, Haryana",28.4834375,77.0152429,1.6693756849420243
Rockland Hospitals Ltd,GURGAON,HARYANA,3.4,26.0,P447+5F Delhi,28.7054375,77.1111179,1.0391263318273576
"Metro Hospital And Heart Institute A Unit 
Of Umkal Health Care Pvt Ltd",GURGAON,HARYANA,4.2,331.0,"F3CF+J8 Gurugram, Haryana",28.4715625,77.0707429,2.341478873876146
Anand Multispeciality Hospital,GURGAON,HARYANA,4.1,228.5,,28.4384375,77.0381179,2.134461682575174
Park Hospital,GURGAON,HARYANA,4.4,69.0,"C2QR+97 Gurugram, Haryana",28.4384375,77.0381179,1.7792306635844062
Yashroop Hospital,Gurgaon,HARYANA,4.6,435.0,"FX7R+HP Gurugram, Haryana",28.4639375,76.9892429,2.694907367027008
W Pratiksha Hospital,GURGAON,HARYANA,4.1,228.5,,29.6956875,77.0032429,2.134461682575174
Mayom Hospital,GURGAON,HARYANA,4.1,228.5,,29.6956875,77.0032429,2.134461682575174
Narayana Superspeciality Hospital,GURGAON,HARYANA,4.1,228.5,,29.6956875,77.0032429,2.134461682575174
Sukhda Multispeciality Hospital (Hisar),HISAR,HARYANA,4.1,228.5,,29.6956875,77.0032429,2.134461682575174
"Shri Moolchand Kidney Hospital And 
Urological Institute",Karnal,HARYANA,4.1,228.5,,29.6956875,77.0032429,2.134461682575174
Uttam Clinic and Hospital,KARNAL,HARYANA,4.2,13.0,"M2W4+78 Karnal, Haryana",29.6956875,77.0032429,1.0270865753641067
City Care Hospital,KARNAL,HARYANA,4.5,34.0,"MXWR+43 Karnal, Haryana",29.6956875,77.0032429,1.5129116538611664
Amritdhara Hospital,KARNAL,HARYANA,4.1,228.5,,29.7443125,76.9573679,2.134461682575174
Park Hospital,KARNAL,HARYANA,4.9,3043.0,"PXV5+PX Sector 45, Haryana",29.7443125,76.9573679,3.816341167611139
Arvind Hospital,KARNAL,HARYANA,4.3,201.0,,29.9664375,76.8276179,2.1876746901363906
Saraswati Mission Hospital,KURUSHESTRA,HARYANA,3.2,37.0,"XR8J+H3 Thanesar, Haryana",29.9664375,76.8276179,1.0820675469519012
Navjeevan Hospital (Nizampur Road),Palwal,HARYANA,5.0,5.0,,28.1543125,77.3278679,0.8170171541934828
Cosmos Hospital,PALWAL,HARYANA,4.6,184.0,"583J+P5 Palwal, Haryana",28.1543125,77.3278679,2.3051108718372824
Dhawan Hospital,Panchkula,HARYANA,4.7,1024.0,"PR6X+CR Panchkula, Haryana",30.7110625,76.8469929,3.1520995840159873
Raffels Hospital,PANCHKULA,HARYANA,4.1,381.0,"MRJX+MF Panchkula, Haryana",30.6816875,76.8461179,2.34095080757195
Alchemist Hospital Ltd Panchkula,PANCHKULA,HARYANA,4.5,4123.0,"MVF7+RX Panchkula, Haryana",30.6745625,76.8623679,3.6342747384592466
Ojas Super Specialty Hospital,PANCHKULA,HARYANA,4.5,1403.0,"MV6J+9R Panchkula, Haryana",30.6609375,76.8794929,3.1550014264003967
IVY Hospital,PANCHKULA,HARYANA,4.1,228.5,,30.6930625,76.8808679,2.134461682575174
Paras Hospital,PANCHKULA,HARYANA,4.7,9377.0,"MVVM+69 Panchkula, Haryana",30.6930625,76.8808679,4.1805080874193745
D.N.Hospital,Panipat,HARYANA,4.7,342.0,"9XHC+X5 Panipat, Haryana",29.3799375,76.9678679,2.643525703940887
Dr. G.C.Gupta Hospital,PANIPAT,HARYANA,2.8,116.0,"9XJH+85 Panipat, Haryana",29.3808125,76.9753679,1.2494921131383887
Park Hospital,Panipat,HARYANA,4.8,5008.0,"8XMP+2H Sewah, Panipat, Haryana",29.3325625,76.9838679,3.9733674924696913
Lotus Hospital,PANIPAT,HARYANA,3.6,28.0,"9XPG+JM Panipat, Haryana",29.3325373,76.9042074,1.1297097165836012
"Ganga Sahai Multispecialty Hospital Pvt. 
Ltd",Rewari,HARYANA,3.6,58.0,"5JH8+R2 Rewari, Haryana",28.1795625,76.6124929,1.3824431923599798
"Metro Umkal Hospital And Heart Institute Dharuhera Chowk,,,RewariNIL",REWARI,HARYANA,4.6,178.0,"6J2F+CF Rewari, Haryana",28.2010625,76.6211179,2.290119851716998
Pushpanjali Hospital,REWARI,HARYANA,3.6,485.0,"5JHF+QJ Rewari, Haryana",28.1794375,76.6214929,2.1327960105351087
LifeCare Hospital Rewari,REWARI,HARYANA,3.9,17.0,"5JWF+63 Rewari, Haryana",28.1955625,76.6201179,1.045709846403259
Sunflag Global Hospital,ROHTAK,HARYANA,4.4,240.0,"VJW5+7H Rohtak, Haryana",28.8956875,76.6063679,2.316919840539571
Kainos Super Speciality Hospital,ROHTAK,HARYANA,4.4,1319.0,"VM28+FP Rohtak, Haryana",28.8511875,76.6642429,3.056536139625076
Sanjivani Hospital,SIRSA,HARYANA,4.8,1173.0,"G2MQ+MP Sirsa, Haryana",29.5341875,75.0367429,3.2850183143589815
Bansal Hospital,SIRSA,HARYANA,4.9,421.0,"G2PF+M4 Sirsa, Haryana",29.5366875,75.0202429,2.859323136059368
Vinayak Hospital,Sohna,HARYANA,3.9,44.0,"63WC+4Q Sohna, Haryana",28.2453125,77.0693679,1.3989353521498824
Nidaan Hospital,SONEPAT,HARYANA,3.3,271.0,"2395+2M Sonipat, Haryana",29.0175625,77.0566179,1.7600318015594014
Gaba Hospital,YAMUNA NAGAR,HARYANA,4.3,860.0,,30.1373125,77.2932429,2.803898870612386
Rk Gupta Hospital,YAMUNA NAGAR,HARYANA,3.0,60.0,"47PW+W8 Yamuna Nagar, Haryana",30.1373125,77.2932429,1.1505023887857395
Apna Hospital,BILASPUR,HIMACHAL PRADESH,3.9,7.0,,31.8789375,76.3123679,0.7331002937972287
Vyas Hospital,BILASPUR,HIMACHAL PRADESH,3.0,166.0,,31.8789375,76.3123679,1.4491483237921994
Nav Jeevan Hospital,KANGRA,HIMACHAL PRADESH,4.6,357.0,"V8H7+HX Jawalamukhi, Himachal Pradesh",31.8789375,76.3123679,2.6052844640036574
Aastha Multispeciality Hospital Mandi,MANDI,HIMACHAL PRADESH,4.1,228.5,,31.7108125,76.9246179,2.134461682575174
KS Hospital,MANDI,HIMACHAL PRADESH,3.6,48.0,"PW6G+8V Mandi, Himachal Pradesh",31.7108125,76.9246179,1.3163573155988935
Banga Associated Hospital,MANDI,HIMACHAL PRADESH,4.7,9.0,"MW6V+PR Gutkar, Himachal Pradesh",31.6618125,76.9419929,1.0012000073998304
Malhotra Superspeciality Hospital,Solan,HIMACHAL PRADESH,4.0,77.0,"WRXJ+HP Baddi, Himachal Pradesh",30.9489375,76.8292429,1.6540393046102286
Lord Mahavira Hospital,SOLAN,HIMACHAL PRADESH,4.1,228.5,,30.9318125,76.7976179,2.134461682575174
Gagan Hospital,SOLAN,HIMACHAL PRADESH,3.6,74.0,"WRJ2+P3 Baddi, Himachal Pradesh",30.9318125,76.7976179,1.467827610228663
"Acharya Shri Chander College Of Medical 
Sciences And Hospital(Ascoms)",JAMMU,JAMMU KASHMIR,3.9,254.0,QW25+MX Jammu,32.7516875,74.9073679,2.0676154050462823
Jk Medicity Hospital Pvt Ltd,JAMMU,JAMMU KASHMIR,4.2,580.0,MWX2+M3 Jammu,32.6991875,74.8976179,2.5738025139086775
"Maharishi Dayanand Hospital And 
Medical Research Centre",JAMMU,JAMMU KASHMIR,2.9,87.0,PVV6+FH Jammu,32.7436875,74.8588679,1.2149151623011682
Bee Enn General Hospital,JAMMU,JAMMU KASHMIR,3.7,384.0,PRJR+3G Jammu,32.7301875,74.8387429,2.1087420402000627
ASG Hospital Pvt Ltd Srinagar,SRINAGAR,JAMMU KASHMIR,4.8,8032.0,3QJQ+P4 Srinagar,34.0818125,74.7852429,4.19746310249297
Modern Hospital,SRINAGAR,JAMMU KASHMIR,3.1,231.0,3R9J+7J Srinagar,34.0681875,74.8289929,1.6004703787256143
"Shri Mata Vaisno Devi Narayana 
Superspeciality Hospital Katra",SRINAGAR,JAMMU KASHMIR,4.8,9569.0,WWWX+R2 Katra,32.9470625,74.9449929,4.280528451669912
Neelam Hospitals Pvt Ltd,BOKARO,JHARKHAND,2.8,85.0,"J5JM+R4 Bokaro Steel City, Jharkhand",23.6320625,86.1802429,1.1642962737698364
Shanti Health Care Hospital,Bokaro,JHARKHAND,2.4,11.0,"J4WM+W6 Bokaro Steel City, Jharkhand",23.6473125,86.1304929,0.5209746407735063
Sri Sai Hospital,BOKARO,JHARKHAND,3.6,15.0,,23.6326875,86.1709929,0.9180882184002679
"KM Memorial Hospital & Research Centre Bye Pass Road, Chas, BS CityBokaro",BOKARO,JHARKHAND,2.8,261.0,"J5MF+3C Bokaro Steel City, Jharkhand",23.6326875,86.1709929,1.472612433789853
Shivam Hospital,BOKARO,JHARKHAND,4.2,92.0,"M4CX+J5 Bokaro Steel City, Jharkhand",23.6715625,86.1453679,1.813187713809806
City Hospital(Dugda),BOKARO,JHARKHAND,3.6,7.0,"P5X2+8W Dugda, Jharkhand",23.7483125,86.1497429,0.6714376522628823
"Shiv Shakti Hospital And Research Centre ITI More, Puruliya Road, Chas,nil",BOKARO,JHARKHAND,4.0,7.0,"J5PC+VV Chas, Jharkhand",23.6371875,86.1696179,0.7536545076420109
Asarfi Hospital Pvt Ltd,DHANBAD,JHARKHAND,3.7,858.0,"RCC7+9Q Nawadih, Dhanbad, Jharkhand",23.8209375,86.4118679,2.402246542224967
"Asian Dwarkadas Jalan Super Specialty 
Hospital",DHANBAD,JHARKHAND,4.0,1217.0,"RC4J+C8 Dhanbad, Jharkhand",23.8060625,86.4282429,2.740643629243774
Jimsar Hospital,DHANBAD,JHARKHAND,4.2,17.0,"RC4W+W2 Dhanbad, Jharkhand",23.8073125,86.4424929,1.1314193765996077
East Point Hospital (Banglore),Bangalore,KARNATAKA,4.0,1135.0,"3P38+FV Bengaluru, Karnataka",13.0536875,77.7146179,2.713086924047534
Essential Hospital,Bangalore,KARNATAKA,4.0,393.0,"XGF5+WR Bengaluru, Karnataka",12.9748125,77.5069929,2.294412578889381
Fortis Hospitals Cunningham Road,BANGALORE,KARNATAKA,4.6,4792.0,"XHQV+7P Bengaluru, Karnataka",12.9471867,77.591983,3.78491328682793
Fortis Hospitals Ltd Bannerghatta,BANGALORE,KARNATAKA,4.7,18633.0,"VHVX+WC Bengaluru, Karnataka",12.8948125,77.5959929,4.499492392513339
Fortis Hospitals Ltd Nagarbhavi,BANGALORE,KARNATAKA,4.6,6052.0,"XG56+WG Bengaluru, Karnataka",12.9598125,77.5087429,3.8910359598031157
Gia Hospital,Bangalore,KARNATAKA,2.3,6.0,"XG7R+JX Bengaluru, Karnataka",12.9640625,77.5398679,0.3738754166313907
Gleneaglas Global Hospitals,BANGALORE,KARNATAKA,4.2,160.0,"XH8X+5X Bengaluru, Karnataka",12.9654375,77.5973679,2.0410232185259916
Green City Hospital,Bangalore,KARNATAKA,4.1,450.0,"WH4P+73 Bengaluru, Karnataka",12.9056875,77.5826179,2.408243567581277
"Gunasheela Surgicals And Maternity 
Hospital",BANGALORE,KARNATAKA,4.1,536.0,"WHRG+3H Bengaluru, Karnataka",12.9401875,77.5738679,2.478974597017963
H. K. Hospital,Bangalore,KARNATAKA,4.0,147.0,"WF5H+C9 Bengaluru, Karnataka",12.9085625,77.4758679,1.907281236265681
Hitech Kidney Stone Hospital,BANGALORE,KARNATAKA,3.9,36.0,"XHQJ+39 Bengaluru, Karnataka",12.9876875,77.5783679,1.323476794240972
"Fortis International Hospital Ltd 
Rajajinagar",BANGALORE,KARNATAKA,4.6,2863.0,"2G2X+VJ Bengaluru, Karnataka",13.0021875,77.5464929,3.5507783008636347
J P Hospital (Nelamngala),Bangalore,KARNATAKA,3.3,32.0,"39WW+XP5 Bengaluru, Karnataka",13.0973875,77.3942898,1.0720050637639313
K L Hospitals Pvt Ltd,Bangalore,KARNATAKA,1.8,8.0,"2MCH+97 Bengaluru, Karnataka",13.0209375,77.6756179,0.3224178519601256
KK Hospital,BANGALORE,KARNATAKA,4.1,662.0,"3HWQ+RQ Bengaluru, Karnataka",13.0970625,77.5868679,2.5643948818965496
"Kangaroo Care Maternity And Children 
Hospital",BANGALORE,KARNATAKA,4.2,2356.0,"XGFR+MWJ Bengaluru, Karnataka",12.9742125,77.539696,3.1551740057652977
Karanth Speciality Hospital,Bangalore,KARNATAKA,4.7,1184.0,"VJM3+Q7 Bengaluru, Karnataka",12.8844375,77.6006179,3.219485669867742
Kethams Hospital Pvt Ltd (Bangalore),Bangalore,KARNATAKA,2.6,197.0,"3H95+F8W Bengaluru, Karnataka",13.0687375,77.5557585,1.2905529918999699
Kims Hospital And Research Centre,Bangalore,KARNATAKA,3.1,320.0,"XH4F+JR Bengaluru, Karnataka",12.9565625,77.5719929,1.6999658136827767
