Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude
Medcare Hospital,BANGALORE,KARNATAKA,4.0,132.0,"XH3F+6M Bengaluru, Karnataka",12.9530625,77.5716179
Mediscope Hospital,BANGALORE,KARNATAKA,4.4,662.0,"2J68+FF Bengaluru, Karnataka",13.0111875,77.6136179
Medsol Hospital,BANGALORE,KARNATAKA,,,"WJC8+3G Bengaluru, Karnataka",12.9201875,77.6137429
Medstar Speciality Hospital,BANGALORE,KARNATAKA,4.4,1315.0,"3H5P+6F Bengaluru, Karnataka",13.0580625,77.5836179
Meenakshi Hospital(Ban),BANGALORE,KARNATAKA,4.4,1160.0,"WHFC+JF Bengaluru, Karnataka",12.9240625,77.5686179
Motherhood Hospital,BANGALORE,KARNATAKA,4.9,112.0,"3J7X+J5 Bengaluru, Karnataka",13.0640625,77.6453679
"Nagappa Hadli Hospital (Mutli Speciality 
Hospital)",Bangalore,KARNATAKA,4.3,283.0,"3GMX+6F Bengaluru, Karnataka",13.0830625,77.5461179
Nano Hospitals,BANGALORE,KARNATAKA,4.2,1759.0,"VJJ6+93 Bengaluru, Karnataka",12.8809375,77.6076179
Narayana Multispeciality Hospital,BANGALORE,KARNATAKA,4.5,11764.0,"WJ5V+6C Bengaluru, Karnataka",12.9080625,77.6409929
"Narayana Super Speciality Hospital 
(Banglore)",Bangalore,KARNATAKA,4.1,943.0,"2H59+99 Bengaluru, Karnataka",13.0084375,77.5658679
"Navachethana Hospital(A Unit Of Pan 
Asia Hospital Pvt.Ltd)",BANGALORE,KARNATAKA,3.9,1176.0,"4H3M+GF Bengaluru, Karnataka",13.1038125,77.5811179
Nayak Hospital,BANGALORE,KARNATAKA,3.0,57.0,"XHX6+P7 Bengaluru, Karnataka",12.9993125,77.5581179
"Nethradhama Hospital Pvt Ltd 
Rajajinagar",BANGALORE,KARNATAKA,4.8,1527.0,"XHX2+29 Bengaluru, Karnataka",12.9975625,77.5483679
Nu Hospitals Pvt Ltd,BANGALORE,KARNATAKA,4.8,4363.0,"WH94+69 Bengaluru, Karnataka",12.9180625,77.5533679
Omega Multispeciality Hospital,BANGALORE,KARNATAKA,4.6,1810.0,"4H2J+3H Bengaluru, Karnataka",13.1001875,77.5788679
PD Hinduja Sindhi Hospital,BANGALORE,KARNATAKA,3.7,725.0,"XH7V+Q3 Bengaluru, Karnataka",12.9644375,77.5901179
Panacea Hospital Nagarbhavi,BANGALORE,KARNATAKA,,,,,
People Tree Hospitals,BANGALORE,KARNATAKA,4.5,4337.0,"2GHQ+GQ Bengaluru, Karnataka",13.0288125,77.5368679
Sree Saiprasad Multispeciality Hospital,BANGALORE,KARNATAKA,3.6,54.0,"3HXG+9X Bengaluru, Karnataka",13.0984375,77.5748679
Prasad Hospital (Bangalore),Bangalore,KARNATAKA,4.2,155.0,"3GRP+F6 Bengaluru, Karnataka",13.0911875,77.5329929
Pristine Hospital(Bangalore),BANGALORE,KARNATAKA,4.2,466.0,"XGXV+67 Bengaluru, Karnataka",12.9980625,77.5406179
Pro Care Hospital,BANGALORE,KARNATAKA,5.0,2.0,"2MC2+3J Bengaluru, Karnataka",13.0201875,77.6489929
Prolife Multispeciality Hospital,BANGALORE,KARNATAKA,4.5,1032.0,"3H7V+XF Bengaluru, Karnataka",13.0649375,77.5911179
Punya Hospital,BANGALORE,KARNATAKA,4.3,1141.0,"XGPP+CX Bengaluru, Karnataka",,
Punya Hospital India Pvt Ltd,BANGALORE,KARNATAKA,4.3,1141.0,"XGPP+CX Bengaluru, Karnataka",12.9860625,77.5348679
"Rajarajeswari Medical College And 
Hospital(Bfangalore)",Bangalore,KARNATAKA,4.0,2267.0,"VFV7+H7 Kambipura, Karnataka",12.8939375,77.4606179
Rajashri Grandhim Speciality Hospital,BANGALORE,KARNATAKA,4.3,458.0,"VJW5+52 Bengaluru, Karnataka",12.8954375,77.6049929
Rajnandini Hospital,Bangalore,KARNATAKA,2.3,103.0,"VHMC+R3 Bengaluru, Karnataka",12.8845625,77.5676179
"Raksha Multispeciality 
Hospital(Bangalore)",BANGALORE,KARNATAKA,3.7,121.0,"2G9R+RR Bengaluru, Karnataka",13.0195625,77.5394929
Rangadore Memorial Hospital,BANGALORE,KARNATAKA,3.6,967.0,"XH3C+CC Bengaluru, Karnataka",12.9535625,77.5684929
Regal Hospital,Bangalore,KARNATAKA,4.4,1614.0,"3JMM+8X Bengaluru, Karnataka",13.0833125,77.6323679
Republic Hospital,Bangalore,KARNATAKA,3.3,46.0,"XH7X+J7 Bengaluru, Karnataka",12.9640625,77.5956179
S. K. Hospital,Bangalore,KARNATAKA,3.3,100.0,"XG49+W9 Bengaluru, Karnataka",12.9573125,77.5158679
S.G. Hospital,Bangalore,KARNATAKA,3.9,32.0,"WGHW+28 Bengaluru, Karnataka",12.9275625,77.5432429
Sagar Chandramma Hospital,BANGALORE,KARNATAKA,3.7,312.0,"WHXF+FV Bengaluru, Karnataka",12.9486875,77.5721179
Sagar Hospital ( Banagalore ),BANGALORE,KARNATAKA,4.4,3492.0,"WH57+6X Bengaluru, Karnataka",12.9080625,77.5623679
Sahana Hospital,Bangalore,KARNATAKA,5.0,1.0,"2G8V+HC Bengaluru, Karnataka",13.0164375,77.5409929
Sanjeevini Hospital(Bangalore),BANGALORE,KARNATAKA,4.5,2018.0,"2G6V+MH Bengaluru, Karnataka",13.0116875,77.5413679
Sarojini Hospital,BANGALORE,KARNATAKA,4.0,83.0,"2GR3+CV Bengaluru, Karnataka",13.0410625,77.5021179
"Sathya Sai Orthopaedic And 
Multispeciality Hospital",BANGALORE,KARNATAKA,4.7,4761.0,"2PC7+J4 Bengaluru, Karnataka",13.0215625,77.7102429
Sevakshetra Hospital,Bangalore,KARNATAKA,3.3,354.0,"WHCC+JV Bengaluru, Karnataka",12.9215625,77.5696179
Seventh-Day Adventist Hospital,Bangalore,KARNATAKA,3.8,514.0,"XJW6+6G Bengaluru, Karnataka",12.9955625,77.6087429
Shanthi Hospital And Research Centre,BANGALORE,KARNATAKA,4.2,348.0,"WHCG+3V Bengaluru, Karnataka",12.9201875,77.5746179
Shekhar Hospital,BANGALORE,KARNATAKA,4.4,413.0,"WHW8+8X Bengaluru, Karnataka",12.9458125,77.5648679
Shirdi Sai Hospital Pvt Ltd,BANGALORE,KARNATAKA,3.2,212.0,"2HP7+WX Bengaluru, Karnataka",13.0373125,77.5623679
Shiva Shakti Multispeciality Hospital,BANGALORE,KARNATAKA,3.3,78.0,"WFRV+97 Bengaluru, Karnataka",12.9409375,77.4906179
Shreya Hospital(Bang),BANGALORE,KARNATAKA,4.1,726.0,"WFCM+H7 Bengaluru, Karnataka",12.9214375,77.4806179
Shushrusha Hospital,BANGALORE,KARNATAKA,4.0,622.0,"3HXX+V6 Bengaluru, Karnataka",13.0996875,77.5954929
Sita Bhateja Speciality Hospital,Bangalore,KARNATAKA,5.0,1.0,"XHMV+9V Bengaluru, Karnataka",12.9834375,77.5921179
South City Hospital,BANGALORE,KARNATAKA,4.2,161.0,"WHXJ+V3 Bengaluru, Karnataka",12.9496875,77.5776179
Sparsh Hospital (Bangalore),BANGALORE,KARNATAKA,,,,,
Sparsh Hospital For Advanced Surgeries,BANGALORE,KARNATAKA,4.7,675.0,"XHMV+8W Bengaluru, Karnataka",12.9833125,77.5922429
"Sparsh Super Speciality Hospital 
Yeshwanthpur",BANGALORE,KARNATAKA,4.7,11513.0,"2GHV+35 Bengaluru, Karnataka",13.0276875,77.5403679
Sri Lakshmi Hospital,BANGALORE,KARNATAKA,4.5,570.0,,,
Sree Venkateshwara Speciality Hospital,Bangalore,KARNATAKA,5.0,1.0,"WMW6+M5 Bengaluru, Karnataka",12.9466875,77.6578679
"Sree Vijayalakshmi Hospital And Trauma 
Care Centre",Bangalore,KARNATAKA,3.8,92.0,"2JPR+X9 Bengaluru, Karnataka",13.0374375,77.6383679
Sreenivasa Hospital,Bangalore,KARNATAKA,3.6,146.0,"XHFF+72 Bengaluru, Karnataka",12.9731875,77.5699929
Sri Maruthi Hospital,BANGALORE,KARNATAKA,3.9,79.0,"XHVF+3M Bengaluru, Karnataka",12.9926875,77.5716179
Sri Raghavendra Hospital,Bangalore,KARNATAKA,5.0,3.0,,,
Sri Sai Krupa Hospital,Bangalore,KARNATAKA,4.5,98.0,"3H5J+MP Bengaluru, Karnataka",13.0591875,77.5792429
Sri Sai Ram Hospital,BANGALORE,KARNATAKA,4.1,419.0,"VHV9+P8 Bengaluru, Karnataka",12.8943125,77.5657429
"Sri Shankara Cancer Hospital And 
Research Centre",BANGALORE,KARNATAKA,4.1,1019.0,"XH3C+JF Bengaluru, Karnataka",12.9540625,77.5686179
Sri Srinivasa Hospital (Anekal),Bangalore,KARNATAKA,4.4,23.0,"PM5X+Q8 Anekal, Karnataka",12.7094375,77.6957429
Sri Venkateshwara Hospital (Bangalore),Bangalore,KARNATAKA,2.7,71.0,"WJR3+X2 Bengaluru, Karnataka",12.9424375,77.5999929
Srinivasa Hospital (Hoskote Twon),Bangalore,KARNATAKA,3.0,122.0,"3QFP+J6 Hoskote, Karnataka",13.0740625,77.7829929
St. Philomena'S Hospital,Bangalore,KARNATAKA,3.7,837.0,"XJ86+4C Bengaluru, Karnataka",12.9653125,77.6084929
Suguna Hospital,BANGALORE,KARNATAKA,4.7,8150.0,"XHQ6+72 Bengaluru, Karnataka",,
Sun Orthopaedic Hospital,BANGALORE,KARNATAKA,4.9,1848.0,"2HM3+8X Bengaluru, Karnataka",13.0333125,77.5523679
"Svastha Hospital ( A Unit Of Jmp Health 
Care Llp)",BANGALORE,KARNATAKA,3.6,1660.0,,,
T.R.Hospital,Bangalore,KARNATAKA,2.7,110.0,"VHJM+7P Bengaluru, Karnataka",12.8806875,77.5817429
The Life Plus Hospital,BANGALORE,KARNATAKA,4.6,1762.0,"XJGW+8R Bengaluru, Karnataka",12.9758125,77.6444929
Trinity Hospital And Heart Foudation,BANGALORE,KARNATAKA,4.0,351.0,"WHVH+CP Bengaluru, Karnataka",12.9758092,77.6059484
Udhbhava Hospital,Bangalore,KARNATAKA,2.8,220.0,"WGGX+7C Bengaluru, Karnataka",12.9256875,77.5459929
V Care Hospital,Bangalore,KARNATAKA,2.9,627.0,"2H8W+9W Bengaluru, Karnataka",13.0159375,77.5947429
V P Magnus Hospital-Bangalore,Bangalore,KARNATAKA,3.6,148.0,"3CR5+5F Nelamangala Town, Karnataka",13.0904375,77.4061179
Vagus Superspeciality Hospital,BANGALORE,KARNATAKA,,,,,
Varalakshmi Hospital,Bangalore,KARNATAKA,4.2,285.0,"WJF8+RR Bengaluru, Karnataka",12.9245625,77.6144929
Vasavi Hospital,BANGALORE,KARNATAKA,4.7,6622.0,"WH36+75 Bengaluru, Karnataka",12.9031875,77.5578679
Vijayanagar Hospital,BANGALORE,KARNATAKA,4.5,2027.0,"XGCP+MV Bengaluru, Karnataka",12.9716875,77.5346179
Vijayashree Hospitals (Jigani),Bangalore,KARNATAKA,4.4,1044.0,"QJHV+HP Jigani, Karnataka",12.7789375,77.6417429
Vikram Hospital Bengaluru Pvt Ltd,BANGALORE,KARNATAKA,3.5,25.0,,,
Vinayaka Hospital (Bangalore),BANGALORE,KARNATAKA,4.1,664.0,"WGQX+2Q Bengaluru, Karnataka",12.9375625,77.5468679
Vivekananda Hospital(Bannerghatta),Bangalore,KARNATAKA,3.1,96.0,"WJ22+2G Bengaluru, Karnataka",12.9000625,77.5987429
Yashomati Hospitals Pvt Ltd,BANGALORE,KARNATAKA,,,,,
"Zion Hospitals And Research Centre Pvt 
Ltd",Bangalore,KARNATAKA,3.7,697.0,"2J7P+X6 Bengaluru, Karnataka",13.0149375,77.6329929
"Apollo Specialty Hospital(Apollo Hospitals 
Enterprises Ltd) Jayanagar",BANGALORE,KARNATAKA,4.7,10360.0,"WHPM+JP Bengaluru, Karnataka",12.9365625,77.5817429
"Apollo Hospital (A Unit Of Apollo Hospital 
Enterprises Ltd.)",BANGALORE,KARNATAKA,4.7,19353.0,"VHWX+G7 Bengaluru, Karnataka",12.8963125,77.5956179
Sri Ram Hospital,BANGALORE,KARNATAKA,4.7,1894.0,"2M5V+FH Bengaluru, Karnataka",13.0086875,77.6913679
Gangothri Hospital,BANGALORE,KARNATAKA,2.1,230.0,"WJ87+HG Bengaluru, Karnataka",12.9164375,77.6112429
Marvel Multispecialty Hospital,BANGALORE,KARNATAKA,4.2,1035.0,"WJGP+59 Bengaluru, Karnataka",12.9254375,77.6333679
Sreenagar Hospital,BANGALORE,KARNATAKA,3.4,53.0,"WHV4+P4 Bengaluru, Karnataka",12.9443125,77.5527429
HK Hospital,BANGALORE,KARNATAKA,4.0,147.0,"WF5H+C9 Bengaluru, Karnataka",12.9085625,77.4758679
Manjunath Hospital,BANGALORE,KARNATAKA,3.9,198.0,"WHXV+8H Bengaluru, Karnataka",12.9483125,77.5913679
Manjushree Hospital,BANGALORE,KARNATAKA,4.4,129.0,"XJM6+2X Bengaluru, Karnataka",12.9825625,77.6098679
Radhakrishna Multispeciality Hospital,BANGALORE,KARNATAKA,4.0,548.0,"WGRW+96 Bengaluru, Karnataka",12.9409375,77.5429929
Life Care Hospital,BANGALORE,KARNATAKA,4.4,2044.0,"WJ97+P5 Bengaluru, Karnataka",12.9193125,77.6103679
Vijayshree Hospital,BANGALORE,KARNATAKA,3.2,355.0,"VH5Q+4P Bengaluru, Karnataka",12.8578125,77.5867429
Vimalalaya Hospital,BANGALORE,KARNATAKA,3.3,566.0,"RMMJ+X4 Bengaluru, Karnataka",12.8349375,77.6777429
Ayurvaid Hospitals,BANGALORE,KARNATAKA,4.6,759.0,"WJ8P+HG Bengaluru, Karnataka",12.9164375,77.6337429
Sri Lakshmi Multispecialty Hospital,BANGALORE,KARNATAKA,4.5,570.0,,,
Mamatha Hospital,BANGALORE,KARNATAKA,3.0,85.0,"WHCR+5W Bengaluru, Karnataka",12.9204375,77.5897429
Blossom Multispecialty Hospital,BANGALORE,KARNATAKA,3.4,8.0,"VMC5+5Q Bengaluru, Karnataka",12.8704375,77.6568679
Rajshekar Hospital,BANGALORE,KARNATAKA,4.2,951.0,"WH6H+CV Bengaluru, Karnataka",12.9110625,77.5771179
People Tree Hospitals (Raghavendra),BANGALORE,KARNATAKA,4.6,2239.0,"2GR8+X6 Bengaluru, Karnataka",13.0424375,77.5129929
Specialist Hospital,BANGALORE,KARNATAKA,4.4,6565.0,"2J8V+Q7 Bengaluru, Karnataka",13.0169375,77.6406179
Krishna Hospital,BANGALORE,KARNATAKA,3.3,94.0,"VHJX+95 Bengaluru, Karnataka",12.8809375,77.5953679
Neighbourhood Hospital Pvt Ltd,BANGALORE,KARNATAKA,3.6,490.0,"VHQJ+QR Bengaluru, Karnataka",12.8894375,77.5794929
Ramaiah Leena Hospital,BANGALORE,KARNATAKA,3.9,183.0,"6PV7+37 Devanahalli, Southegowdanahalli, Karnataka",13.2426875,77.7106179
SSNMC Super Specialty Hospital,BANGALORE,KARNATAKA,,,,,
Tathagat Heart Care Centre And Hospital,BANGALORE,KARNATAKA,4.2,33.0,"XHPJ+44 Bengaluru, Karnataka",12.9853125,77.5777429
Shettys Hospital,BANGALORE,KARNATAKA,3.8,95.0,"VJXC+8H Bengaluru, Karnataka",12.8983125,77.6188679
Family Hospital,BANGALORE,KARNATAKA,3.2,67.0,"2HJ5+W9 Bengaluru, Karnataka",13.0323125,77.5558679
Astra Super Speciality Hospital,BANGALORE,KARNATAKA,4.8,8332.0,"VHR7+88 Bengaluru, Karnataka",12.8908125,77.5607429
NDR Hospital,BANGALORE,KARNATAKA,3.7,258.0,"3HWH+8P Bengaluru, Karnataka",13.0958125,77.5767429
Shreya Hospital,BANGALORE,KARNATAKA,4.1,726.0,"WFCM+H7 Bengaluru, Karnataka",12.9214375,77.4806179
Bhagwan Mahaveer Jain Hospital,BANGALORE,KARNATAKA,4.5,6220.0,"XHRW+J2 Bengaluru, Karnataka",12.9915625,77.5924929
Rajmahal Vilas Hospital,BANGALORE,KARNATAKA,3.7,350.0,"2HJG+WQ Bengaluru, Karnataka",13.0323125,77.5743679
Divakars Speciality Hospital,BANGALORE,KARNATAKA,4.6,813.0,"WH6R+2X Bengaluru, Karnataka",12.9100625,77.5898679
AV Multispeciality Hospital,BANGALORE,KARNATAKA,3.9,580.0,"WGMR+3C Bengaluru, Karnataka",12.9326875,77.5384929
R K Hospital,BANGALORE,KARNATAKA,4.0,766.0,"WHPM+H8 Bengaluru, Karnataka",12.9364375,77.5807429
Hamilton Bailey Hospital,BANGALORE,KARNATAKA,4.0,161.0,"WJ2X+8F Bengaluru, Karnataka",12.9008125,77.6461179
Abhayahasta Multispeciality Hospital,BANGALORE,KARNATAKA,3.6,1150.0,"XMPC+5X Bengaluru, Karnataka",12.9854375,77.6698679
"Bangalore Surgical And Orthopaedic 
Hospital",BANGALORE,KARNATAKA,4.2,275.0,"2JCQ+MC Bengaluru, Karnataka",13.0216875,77.6359929
Comfort Multispeciality Hospital,BANGALORE,KARNATAKA,3.5,642.0,"XMJH+MX Bengaluru, Karnataka",12.9816875,77.6773679
Janapriya Hospital,BANGALORE,KARNATAKA,3.3,257.0,"2J5V+JC Bengaluru, Karnataka",13.0090625,77.6409929
"Kanva Multispeciality Hospital (Kanva Sri 
Sai Hospital)",BANGALORE,KARNATAKA,4.6,1263.0,"2G9Q+2P Bengaluru, Karnataka",13.0175625,77.5367429
Motherhood Hospital,BANGALORE,KARNATAKA,4.9,112.0,"3J7X+J5 Bengaluru, Karnataka",13.0640625,77.6453679
Best Hospital,BANGALORE,KARNATAKA,4.6,4792.0,"XHQV+7P Bengaluru, Karnataka",12.9471867,77.591983
Aster RV Hospital,BANGALORE,KARNATAKA,4.8,13479.0,"WH6P+83 Bengaluru, Karnataka",12.9108125,77.5826179
Aaxis Hospital,BANGALORE,KARNATAKA,3.7,945.0,"2Q44+CP Bengaluru, Karnataka",13.0060625,77.7542429
Pavan Hospital,BANGALORE,KARNATAKA,4.2,200.0,"3HXW+6F Bengaluru, Karnataka",13.0980625,77.5936179
Motherhood Hospital,BANGALORE,KARNATAKA,4.9,112.0,"3J7X+J5 Bengaluru, Karnataka",13.0640625,77.6453679
HBS Hospital,BANGALORE,KARNATAKA,3.5,361.0,"XJQ3+PF Bengaluru, Karnataka",12.9893125,77.6011179
Athreya Hospital,BANGALORE,KARNATAKA,3.9,1114.0,"QPV4+RP Bengaluru, Karnataka",12.7945625,77.7042429
Pinnacle Hospital,BANGALORE,KARNATAKA,3.0,1.0,"WHFC+86 Bengaluru, Karnataka",12.9233125,77.5679929
Prakriya Hospital,BANGALORE,KARNATAKA,4.4,3513.0,"2GW4+CJ Bengaluru, Karnataka",13.0460625,77.5039929
Chiraayu Hospital,BANGALORE,KARNATAKA,4.6,237.0,"2H5V+PX Bengaluru, Karnataka",13.0093125,77.5923679
Atreum Hospital,BANGALORE,KARNATAKA,4.7,2154.0,"WGJ8+X8 Bengaluru, Karnataka",12.9324375,77.5132429
Leelavatti Multispeciality Hospital,BANGALORE,KARNATAKA,4.0,185.0,"XH59+R4 Bengaluru, Karnataka",12.9595625,77.5652429
Mtb Orthopaedic And Trauma Hospital,BANGALORE,KARNATAKA,4.2,152.0,,,
Digvijaya Hospital,BANGALORE,KARNATAKA,3.6,96.0,"WHHG+VH Bengaluru, Karnataka",12.9296875,77.5738679
Somayaji Hospital,BANTWAL,KARNATAKA,3.2,69.0,"V2JJ+XQ Mangaluru, Karnataka",12.8824375,75.0293679
Arogya Chidren'S Hospital,Belgaum,KARNATAKA,3.2,71.0,"VG55+MJ Belagavi, Karnataka",15.8591875,74.5064929
Arogya Women'S Hospital,Belgaum,KARNATAKA,4.9,86.0,"RGV5+J5 Belagavi, Karnataka",15.8440625,74.5053679
"Kles Dr.Prabhakar Kore Hospital And 
Medical Research Centre.",Belgaum,KARNATAKA,3.7,1056.0,"VGQ9+7V Belagavi, Karnataka",15.8881875,74.5171179
Vijaya Hospital(Belgum),Belgaum,KARNATAKA,3.3,36.0,"VGF7+MP Belagavi, Karnataka",15.8741875,74.5117429
Dakshata Hospital,BELGUAM,KARNATAKA,2.4,7.0,"RGM3+MP Belagavi, Karnataka",15.8341875,74.5017429
Yash Hospital Critical Care Centre,BELGUAM,KARNATAKA,3.4,65.0,"VG29+X8 Belagavi, Karnataka",15.8524375,74.5157429
"BHS Lakeview Heart & Super Speciality 
Hospital",BELGUAM,KARNATAKA,3.3,75.0,"RGR5+XV Belagavi, Karnataka",15.8424375,74.5071179
Venugram Hospital,BELGUAM,KARNATAKA,4.2,414.0,"RFGW+8X Belagavi, Karnataka",15.8258125,74.4948679
"Belgaum College Road Multispeciality 
Hospital",BELGUAM,KARNATAKA,4.6,178.0,"VG65+V2 Belagavi, Karnataka",15.8621875,74.5049929
Jindal Sanjeevani Hospital,BELLARY,KARNATAKA,3.6,270.0,"5MW5+GH Shankar Hill Town, Karnataka",15.1963125,76.6563679
Sree Thirumala Hospital,Bellary,KARNATAKA,3.0,6.0,"5W5Q+G5 Ballari, Karnataka",15.1588125,76.9353679
SR Multispeciality Hospital Subba Rao,BELLARY,KARNATAKA,4.3,218.0,"4WW3+JM Ballari, Karnataka",15.1588125,76.9353679
Prayavi Hospital,Bidar,KARNATAKA,3.1,46.0,,,
Sai Preet Bhalke Vydehi Hospital,BIDAR,KARNATAKA,3.8,189.0,"WG95+F6 Bidar, Karnataka",17.9186875,77.5054929
"Shree Hospital Trauma Neuro And 
Critical Care",BIDAR,KARNATAKA,3.8,129.0,"WG96+P4 Bidar, Karnataka",17.9193125,77.5077429
R.K.Choudhary Hospital,Bijapur,KARNATAKA,3.8,124.0,"RPJH+4P Vijayapura, Karnataka",16.8303125,75.7267429
"Shri Ganpatlal Agarwal Memorial Ayush 
Multispeciality Hospital And Research",Bijapur,KARNATAKA,3.9,193.0,"RP5G+9G Vijayapura, Karnataka",16.8084375,75.7237429
"Yashodhara Super Specialty Hospital Pvt 
Ltd",BIJAPUR,KARNATAKA,3.5,35.0,"VPGC+42 Vijayapura, Karnataka",16.8753125,75.7174929
Akki Hospital,BIJAPUR,KARNATAKA,3.4,36.0,,,
Srushti Hospital,BINAGA,KARNATAKA,3.6,300.0,"VJXC+67 Bengaluru, Karnataka",12.8980625,77.6181179
JSS Hospital,CHAMRAJNAGAR,KARNATAKA,3.1,95.0,,,
Annapurna Hospital,CHICKMANGALORE,KARNATAKA,4.8,298.0,"8Q6C+M2 Chikkamagaluru, Karnataka",13.3116875,75.7674929
Jeevan Hospital,CHICKMANGALORE,KARNATAKA,3.8,10.0,"H247+Q2 Kadur, Karnataka",13.5569375,76.0099929
Holy Cross Hospital,CHIKMAGALAUR,KARNATAKA,3.5,113.0,"8RQ3+99 Chikkamagaluru, Karnataka",13.3384375,75.8008679
KRS Multispeciality Hospital Pvt Ltd,CHIKMAGALAUR,KARNATAKA,4.2,159.0,"8QJF+GW Chikkamagaluru, Karnataka",13.3313125,75.7722429
Ashraya Hospital (Naidu Street),Chikmaglur,KARNATAKA,4.5,2044.0,"8Q8F+85 Chikkamagaluru, Karnataka",13.3158125,75.7703679
P. V. S. Hospital,Chitradurga,KARNATAKA,3.7,3.0,,,
Patanjali Hospital.,Chitradurga,KARNATAKA,4.4,77.0,"6CF2+F5 Chitradurga, Karnataka",14.2236875,76.3978679
Deccan Hospital,CHITRADURGA,KARNATAKA,4.5,11.0,,,
City Central Hospital Pvt Ltd,Davangere,KARNATAKA,3.2,235.0,"FW69+3G Davanagere, Karnataka",14.4601875,75.9162429
Soukhyada Hospital,DAVANGERE,KARNATAKA,4.8,2338.0,"FW59+CF Davanagere, Karnataka",14.4585625,75.9161179
Srushti Speciality Hospital,DAVANGERE,KARNATAKA,4.4,67.0,"CWQF+43 Davanagere, Karnataka",14.4378125,75.9201179
Sanjeevini Hospital,DAVANGERE,KARNATAKA,3.6,22.0,,,
Shreeya Hospital (Dharwad),Dharwad,KARNATAKA,3.4,158.0,"F254+VR Dharwad, Karnataka",15.4596875,75.0044929
Shri Krishna Children Hospital,Dharwad,KARNATAKA,3.1,9.0,"FX2V+89 Dharwad, Karnataka",15.4508125,74.9908679
"Sri Dharmasthala Manjunatheshwara 
College Of Medical Sciences And Hospital",Dharwad,KARNATAKA,4.1,3019.0,"C392+92 Sattur Colony, Dharwad, Karnataka",15.4184375,75.0474929
Spandana Hospital,DHARWAD,KARNATAKA,3.4,77.0,"F222+6W Dharwad, Karnataka",15.4505625,74.9997429
Sukh Shanti Super Speciality Hospital S4,GOKAK,KARNATAKA,4.1,38.0,"5R7V+XX Gokak, Karnataka",16.1649375,74.8423679
Sri Sai Krupa Hospital(Gulbarga),Gulbarga,KARNATAKA,3.5,4.0,,,
Vaatsalya Life Hospital,GULBARGA,KARNATAKA,3.3,70.0,"8RGJ+7H Kalaburagi, Karnataka",17.3389884,76.7577096
Medicare Multispeciality Hospital,GULBARGA,KARNATAKA,3.0,78.0,"8RPV+VM Kalaburagi, Karnataka",17.3371875,76.8416179
Patil Hospital,GULBARGA,KARNATAKA,4.3,22.0,"8RMQ+WQ Kalaburagi, Karnataka",17.3348125,76.8368679
Hemavathi Hospital,Hassan,KARNATAKA,3.2,83.0,"236W+5R Hassan, Karnataka",13.0104375,76.0944929
Janapriya Hospital And Research Centre,HASSAN,KARNATAKA,3.9,614.0,"2434+MP Hassan, Karnataka",13.0041875,76.1042429
Mangala Hospital,HASSAN,KARNATAKA,,314.0,"2435+W3 Hassan, Karnataka",,
"Mani Speciality Hospital And Research 
Institute",Hassan,KARNATAKA,,,,,
Nagesh Hospital,Hassan,KARNATAKA,,,,,
Sparsh Hospital,HASSAN,KARNATAKA,,,,,
Manjunatha Hospital,HASSAN,KARNATAKA,,,,,
Sanjeevini Cooperative Hospital,HASSAN,KARNATAKA,,,,,
Dipali Hospital,Hospet,KARNATAKA,,,,,
Citi Hospital,HOSPET,KARNATAKA,,,,,
Hebsur Hospital,Hubli,KARNATAKA,,,,,
Jaypriya Hospital,HUBLI,KARNATAKA,,,,,
"Kalghatgi Hospital A Unit Of 
Banashankari Hospitals Pvt Ltd",HUBLI,KARNATAKA,,,,,
Lifeline 24X7 Hi-Tech Icu And Hospital,HUBLI,KARNATAKA,,,,,
"Shakuntala Memorial Hospital And 
Reserach Centre",Hubli,KARNATAKA,,,,,
"Sushruta M. Sp. Hospital & Research 
Centre",HUBLI,KARNATAKA,,,,,
Ashok Hospital,HUBLI,KARNATAKA,,,,,
Dr Hiregoudar Multispeciality Hospital,HUBLI,KARNATAKA,,,,,
Hubli Superspecialty Hospital,HUBLI,KARNATAKA,,,,,
Shivakrupa Hospital & ICU Hubli,HUBLI,KARNATAKA,,,,,
Tatwadarsha Hospital,HUBLI,KARNATAKA,,,,,
Manvi Multispeciality Hospital,HUBLI,KARNATAKA,,,,,
Sanjeevini Speciality Hospital,HUBLI,KARNATAKA,,,,,
Ashoka Hospital,HUBLI,KARNATAKA,,,,,
Chirayu Hospital,KARWAR,KARNATAKA,,,,,
Dr Nukapur Hospital,Kolar,KARNATAKA,,,,,
Rathna Hospital,Kolar,KARNATAKA,,,,,
St Mary'S Hospital,Kolar,KARNATAKA,,,,,
Lakshmi Hospital Kolar,KOLAR,KARNATAKA,,,,,
Gsr Multispeciality Hospital,Koppal,KARNATAKA,,,,,
Sri Manjunatha Hospital,KUNDAPUR,KARNATAKA,3.8,66.0,,,
Vivus Hospital Pvt Ltd,Madikeri,KARNATAKA,3.8,66.0,,,
Pragathi Hospital,MANDYA,KARNATAKA,3.8,66.0,,,
S.D. Jayaram Hospital,Mandya,KARNATAKA,3.8,66.0,,,
Sanjo Hospital (Mandya),Mandya,KARNATAKA,3.8,66.0,,,
Vikram Hospital(Mandya),Mandya,KARNATAKA,3.8,66.0,,,
